Episode,Reward
9,98.43869018554688
19,114.46089172363281
29,24.852964401245117
39,243.6151580810547
49,29.550872802734375
59,37.89711380004883
69,29.228113174438477
79,43.105934143066406
89,130.56846618652344
99,40.42884826660156
109,367.4205627441406
119,368.47900390625
129,754.8092041015625
139,645.620849609375
149,499.1936950683594
159,485.7880859375
169,1018.1570434570312
179,1058.3125
189,1736.968505859375
199,1179.289794921875
209,1361.371337890625
219,931.2271728515625
229,979.7243041992188
239,1011.6002197265625
249,1079.1510009765625
259,1083.59912109375
269,764.9786987304688
279,932.9810791015625
289,868.33642578125
299,920.3229370117188
309,1177.9478759765625
319,950.7000732421875
329,1239.54345703125
339,824.2215576171875
349,1082.0035400390625
359,935.1644287109375
369,534.1806640625
379,752.4904174804688
389,417.8827209472656
399,662.2232666015625
