Episode,Reward
9,50.120000064373016
19,112.25335693359374
29,43.403929710388184
39,141.3017406463623
49,30.5786075592041
59,43.611446380615234
69,90.31641864776611
79,302.8299140930176
89,105.73949813842773
99,413.38953399658203
109,456.85841369628906
119,689.8004760742188
129,853.5732116699219
139,676.9259643554688
149,551.0711517333984
159,549.3185729980469
169,1205.8762512207031
179,940.377685546875
189,1389.5759887695312
199,949.6802978515625
209,1228.5740966796875
219,1023.0430908203125
229,830.5871887207031
239,1349.3256225585938
249,894.1727905273438
259,1095.6170654296875
269,1128.3757629394531
279,868.4756469726562
289,934.1702575683594
299,1037.3273010253906
309,1269.156494140625
319,1381.7454223632812
329,1240.57861328125
339,921.0131225585938
349,1131.3646850585938
359,977.1707763671876
369,934.0367431640625
379,867.6423645019531
389,1009.1493072509766
399,824.532958984375
