Episode,Reward
9,16.617933750152588
19,55.308292388916016
29,46.8951396048069
39,122.1156196594238
49,56.3658266067505
59,4.210862159729004
69,28.92255401611328
79,94.18104553222656
89,122.18572807312012
99,316.84686279296875
109,310.3005862236023
119,324.2179174423218
129,407.71485900878906
139,443.84831619262695
149,610.1972351074219
159,391.2229881286621
169,516.7699890136719
179,380.86928272247314
189,390.84106636047363
199,480.73175048828125
209,449.48081970214844
219,414.6626853942871
229,471.5810012817383
239,553.4937438964844
249,569.0883560180664
259,614.0655212402344
269,477.57568359375
279,540.19692850112915
289,556.01530456542969
299,621.01601791381836
309,672.9688777923584
319,621.1881561279297
329,495.784912109375
339,644.6250228881836
349,703.2427825927734
359,532.36083984375
369,679.7793025970459
379,668.71146583557129
389,703.95698165893555
399,616.29336738586426
