Episode,Reward
9,17.562440872192383
19,47.44914245605469
29,94.66312408447266
39,86.2209243774414
49,26.874353408813477
59,38.22779083251953
69,31.404987335205078
79,68.63007354736328
89,226.3637237548828
99,438.76483154296875
109,410.3072204589844
119,426.26739501953125
129,599.1405029296875
139,441.0755310058594
149,310.34613037109375
159,564.8178100585938
169,731.905517578125
179,730.61669921875
189,751.5025024414062
199,910.52783203125
209,864.3106689453125
219,805.40087890625
229,565.7169799804688
239,373.75750732421875
249,305.52130126953125
259,392.55877685546875
269,269.75128173828125
279,69.11253356933594
289,63.69926071166992
299,379.7431335449219
309,889.388671875
319,1118.499267578125
329,716.4879760742188
339,1160.7431640625
349,446.7107849121094
359,683.4115600585938
369,716.9093627929688
379,82.33377838134766
389,207.7710418701172
399,603.6820068359375
