Episode,Reward,Loss
9,-258.2297058105469,169.32609771728517
19,-213.22854614257812,97.49036743164062
29,-216.94351196289062,56.162418189048765
39,-160.0220184326172,1.3212824472784996
49,-168.7693328857422,55.41683688879013
59,-143.41030883789062,0.6346804040670395
69,-116.71712493896484,34.94873611330986
79,-114.15730285644531,0.3706160669028759
89,-127.62461853027344,28.42182516336441
99,-108.3945083618164,0.29896672159433363
109,-119.26041412353516,26.51527130842209
119,-108.1375503540039,0.34286359399557115
129,-107.37296295166016,23.984496627748012
139,-128.11471557617188,0.32450844436883924
149,-107.62788391113281,21.319369715750216
159,-106.75154876708984,0.4126119786500931
169,-98.13450622558594,18.18879468858242
179,-99.30648803710938,0.6130637350678444
189,-105.9551010131836,15.143184751272202
199,-111.99874114990234,0.79765600502491
209,-120.20738220214844,12.284435208439827
219,-111.6816177368164,0.927809909582138
229,-106.31103515625,12.071229348182678
239,-115.57466888427734,1.1524187487363815
249,-123.34031677246094,12.532676807641984
259,-99.02383422851562,1.407016545534134
269,-119.67578125,10.465053097009658
279,-120.75914001464844,1.4858682149648665
289,-99.57745361328125,9.457317781448364
299,-116.16473388671875,1.7215671730041504
309,-117.42598724365234,9.939168101549148
319,-113.32591247558594,2.0479129934310913
329,-107.495849609375,9.403848775625228
339,-98.58738708496094,2.1869297611713407
349,-97.42176055908203,8.666559662818909
359,-90.99208068847656,2.3239054036140443
369,-99.59535217285156,8.152168524265289
379,-93.28120422363281,2.5678371953964234
389,-95.33737182617188,7.39589632987976
399,-105.04437255859375,2.9243782544136048
409,-108.9609603881836,7.501298179626465
419,-98.63359069824219,3.0437156569957735
429,-106.66703796386719,7.328294715881348
439,-95.2173080444336,3.45065461397171
449,-99.86650085449219,7.2247948288917545
459,-105.43377685546875,3.819529912471771
469,-103.66661071777344,7.146580693721771
479,-91.66325378417969,4.1705533170700075
489,-101.10115051269531,7.242782881259918
499,-87.46237182617188,4.49940759897232
509,-92.99732208251953,6.664654686450958
519,-101.7645492553711,4.765383715629578
529,-98.39701080322266,7.082855844497681
539,-93.23829650878906,5.14060735464096
549,-94.18509674072266,6.867359483242035
559,-94.4992904663086,5.6669520664215085
569,-98.86578369140625,7.359903872013092
579,-109.55582427978516,5.897323925495147
589,-98.85641479492188,7.63967848777771
599,-104.23927307128906,5.839994566440582
609,-99.46432495117188,7.719426546096802
619,-101.50791931152344,6.187720880508423
629,-105.61524963378906,8.3908713722229
639,-99.6596908569336,6.847734546661377
649,-110.4791259765625,7.842846972942352
659,-100.53898620605469,6.840892505645752
669,-115.49198150634766,7.976922779083252
679,-99.42155456542969,7.3059174871444705
689,-88.38201141357422,8.581400952339173
699,-99.37330627441406,7.721284942626953
709,-104.32844543457031,8.363290910720826
719,-92.73277282714844,8.24599898815155
729,-102.3658447265625,9.576387219429016
739,-91.85575103759766,8.052572512626648
749,-98.06417846679688,9.378846249580384
759,-95.46543884277344,8.310275387763976
769,-95.84844207763672,9.32308141708374
779,-98.92384338378906,9.147937712669373
789,-116.49232482910156,9.456495237350463
799,-103.66288757324219,9.06189516544342
809,-105.60005950927734,9.67960584640503
819,-111.64393615722656,9.050925288200379
829,-112.8306655883789,10.118010578155518
839,-102.83560943603516,9.92368182182312
849,-98.03565979003906,9.863640050888062
859,-94.65839385986328,9.417449674606324
869,-111.04930114746094,10.444382710456848
879,-111.32733154296875,9.85477553844452
889,-95.1016845703125,10.564292001724244
899,-89.2937240600586,10.843884210586548
909,-93.94062805175781,10.782206201553345
919,-102.70317077636719,10.381826510429383
929,-96.22980499267578,11.67412525177002
939,-109.7732925415039,11.28432276725769
949,-92.47786712646484,12.266621289253235
959,-106.2525405883789,11.034153203964234
969,-102.87318420410156,12.321640348434448
979,-107.589111328125,11.639221076965333
989,-87.89167785644531,11.871655311584473
999,-91.71092224121094,11.743742060661315
