Episode,Reward
9,-38.42663251383958
19,-36.050197432844925
29,86.64847126000237
39,7.352702181305203
49,124.66255597076196
59,55.505374136328726
69,120.41572343572066
79,125.57683742774947
89,152.99461572887643
99,226.39656295260795
109,294.2696553021544
119,416.2772212523854
129,273.7428452704216
139,375.2665177263149
149,375.3700991465738
159,406.2996915404014
169,371.9101258199401
179,347.9552881907414
189,352.3719374624686
199,378.9373005567437
209,337.05845662796236
219,378.33573244073324
229,394.31527493385033
239,311.06267849409693
249,304.67010089799487
259,346.5034927943892
269,329.1291860580916
279,375.11254037917774
289,397.83955406082
299,434.8688771447704
309,448.45159490684
319,375.61162810962173
329,370.30269243796977
339,387.06134847893094
349,383.74720252509246
359,364.0839794407667
369,457.24887425779565
379,357.7143095404475
389,387.3688079651721
399,295.3754711995245
