Episode,Hits
9,14.56112743327718
19,13.410368572452416
29,14.44926819589567
39,13.0040439174925
49,15.561195491902385
59,14.531669003990936
69,11.705765222785384
79,8.938372798273932
89,9.514389826950316
99,5.763309623151677
109,4.965055297366952
119,5.26242294793222
129,5.310633672501806
139,3.287930171594427
149,4.120493115381739
159,2.7839023695736786
169,2.8560781007153304
179,5.747096402615626
189,3.659333811432446
199,4.9540025229939975
209,1.4222721701314218
219,2.3891364263106585
229,2.118132807610232
239,0.9513922997736661
249,1.243856274935399
259,2.5918086928147694
269,0.4130432008679046
279,2.6691675201722598
289,3.194534539061343
299,0.2980586431295915
309,1.6177400681796905
319,1.2053029710584882
329,0
339,2.8933652718925584
349,2.1973295789153418
359,1.9370026670748164
369,1.7384192719026152
379,1.746136751023458
389,1.2377035237566731
399,0
