Episode,Hits
9,15.618922003625913
19,13.147714395739172
29,12.817207044408079
39,12.551835002686394
49,12.562141393560882
59,14.759660753573506
69,13.738975112154986
79,10.837013002811963
89,8.26805435156002
99,8.398237746148968
109,6.513107996151971
119,5.348953007482189
129,6.288494950567124
139,4.59765868026979
149,3.7007158312854322
159,2.273040908235118
169,5.879679782687015
179,2.72738998679391
189,1.9753122188435692
199,5.059527241233491
209,3.4469247293039
219,3.1329430090815085
229,3.2472658785594883
239,3.897425482237522
249,1.1770931169174657
259,3.456941150526392
269,0.7115847355982874
279,1.2181422209908643
289,0
299,0
309,0.24583740332112547
319,0
329,0
339,0.8343176064816675
349,0.8508255067912504
359,0.627626193439764
369,1.4098333306961808
379,1.886586336681181
389,0
399,1.7009208213240279
