Episode,Hits
9,12.181838872206018
19,13.521718519665653
29,13.975547361584495
39,14.107346007317958
49,13.217467127448167
59,13.033017043952489
69,14.167620859645883
79,8.913139561239026
89,7.74134653109876
99,6.38396520582224
109,4.9280445000711595
119,3.8830373425078535
129,5.348467507670225
139,5.736432604123582
149,3.9402499313150585
159,4.33278760066177
169,4.2831212655988224
179,4.982678928509481
189,2.019740499453718
199,4.881585766228813
209,4.400965538797
219,1.3038391148344308
229,1.379865013805953
239,1.9621246798837793
249,1.8672653039599014
259,2.5459744361957757
269,0.23123199239133285
279,2.4357884762425606
289,1.2253155855398006
299,0
309,0
319,0
329,1.616578395592351
339,2.3834462373709844
349,1.5069924565927986
359,0.23625992181707067
369,1.6785244869092424
379,0
389,0.8903673183812375
399,0.6775143808300976
