Episode,Reward
9,-3.675003688154419
19,-2.1292672324279707
29,73.75478100618412
39,27.288469852149547
49,101.9465000970353
59,16.87803437773394
69,107.86209263396994
79,120.37676133094789
89,270.42088032638196
99,235.6653891367352
109,392.582348595913
119,397.87662351694695
129,357.2194540048176
139,296.5551900033902
149,335.56911928794636
159,487.8214048500311
169,357.0728674345017
179,302.3236777227047
189,403.8141581512161
199,478.49029905293924
209,372.7854218029928
219,366.24139925603583
229,416.3240507372024
239,329.73345236723844
249,354.0326009148286
259,345.24088231520204
269,283.84805373953617
279,331.8022783101895
289,340.3202302976038
299,488.8230533421039
309,449.45174495652964
319,421.60651021281365
329,417.6614535530621
339,349.7425754187352
349,413.9678184363027
359,336.8245824376131
369,380.7999131773354
379,411.52293450429534
389,345.668595494213
399,297.67359238811684
