Episode,Hits
9,13.634910998347696
19,11.310840979878519
29,13.225750468257408
39,12.243395098170478
49,14.66481197951731
59,12.411068014129624
69,13.041748539405475
79,9.3679852946494
89,6.192026375832227
99,7.488409288447433
109,5.58674407496105
119,4.5073237511592845
129,5.51405802411692
139,6.404488495392311
149,3.869926584463639
159,4.534669022750409
169,4.361205645503186
179,3.829598515005617
189,3.190328737266534
199,2.78352057223476
209,4.564156678766928
219,2.1187334949977354
229,3.750758298802081
239,3.549232198124543
249,0.24938364499644194
259,0.3361735067054228
269,2.0541750967921883
279,3.0461988275229324
289,2.9233997817085884
299,0.6586431500465144
309,0
319,2.220984553923059
329,0
339,0
349,1.578281242298723
359,1.9913393674757605
369,1.9575523380415085
379,0
389,0
399,0
