Episode,Reward
9,40.3314208984375
19,-32.4982795715332
29,-99.55586242675781
39,-26.313739776611328
49,107.29563903808594
59,-45.7287712097168
69,215.64254760742188
79,333.1647033691406
89,-114.9947280883789
99,69.31780242919922
109,18.957735061645508
119,580.2505493164062
129,286.7443542480469
139,265.9471435546875
149,-35.326438903808594
159,-20.467876434326172
169,-27.49038314819336
179,-133.04873657226562
189,-70.99819946289062
199,-46.644630432128906
209,48.32539367675781
219,-53.19780731201172
229,-52.50133514404297
239,-46.148860931396484
249,-19.015056610107422
259,-59.14897918701172
269,8.19978141784668
279,-225.0745849609375
289,-238.9931640625
299,-188.50244140625
309,-212.2218780517578
319,-221.72830200195312
329,-143.8398895263672
339,-68.27519226074219
349,-85.27860260009766
359,-122.2348403930664
369,-51.1320686340332
379,-112.404541015625
389,-133.2572021484375
399,-14.226101875305176
409,-86.01744842529297
419,2.003683567047119
429,-13.397939682006836
439,9.227046012878418
449,-19.332599639892578
459,-33.67219543457031
469,13.35710334777832
479,-33.6019287109375
489,-50.64712142944336
499,-50.45050811767578
509,-77.6405258178711
519,-62.037689208984375
529,-224.10800170898438
539,-58.46855926513672
549,-224.27175903320312
559,-62.2661018371582
569,-87.83018493652344
579,-76.5373306274414
589,-5.729342460632324
599,-94.96922302246094
609,-67.72956848144531
619,-82.79380798339844
629,-32.801612854003906
639,-75.5809326171875
649,-32.57659149169922
659,-4.749394416809082
669,248.59463500976562
679,163.35731506347656
689,101.76103210449219
699,-5.344522953033447
709,168.9054718017578
719,7.609720706939697
729,343.52777099609375
739,60.91038131713867
749,41.6929817199707
759,3.7406437397003174
769,16.43832015991211
779,12.592905044555664
789,33.8125114440918
799,37.6758918762207
