Episode,Hits
9,14.0
19,12.7
29,13.2
39,12.5
49,14.0
59,12.8
69,13.3
79,10.7
89,8.1
99,7.0
109,6.5
119,5.8
129,5.2
139,4.5
149,5.0
159,4.2
169,3.9
179,4.1
189,3.5
199,3.2
209,2.8
219,2.5
229,2.9
239,2.3
249,2.0
259,1.8
269,1.4
279,1.7
289,1.2
299,0.0
309,0.8
319,0.7
329,0.0
339,1.0
349,0.4
359,0.0
369,0.2
379,0.1
389,0.3
399,0.0
