Episode,Reward
9,57.38997268676758
19,80.63420104980469
29,508.31402587890625
39,421.7291564941406
49,24.310396194458008
59,1228.5623779296875
69,1417.2996826171875
79,691.7984619140625
89,162.89077758789062
99,334.1163635253906
109,516.67236328125
119,747.9454345703125
129,272.73089599609375
139,386.7987060546875
149,689.7188720703125
159,439.51593017578125
169,792.5841064453125
179,910.2457885742188
189,71.9823989868164
199,351.14276123046875
209,318.2528076171875
219,522.6333618164062
229,621.26220703125
239,399.4776611328125
249,67.1668930053711
259,62.86692428588867
269,211.38375854492188
279,793.4796142578125
289,612.1583251953125
299,456.5696716308594
309,1344.54150390625
319,742.6377563476562
329,240.04019165039062
339,290.6189270019531
349,924.7696533203125
359,658.6319580078125
369,938.1921997070312
379,63.6837158203125
389,122.98934173583984
399,16.533523559570312
