Episode,Reward,Loss
9,-46.10371398925781,1.703579906374216
19,-44.23109436035156,0.03819285925477743
29,-45.301368713378906,0.6894609631039202
39,-45.925514221191406,0.021863095425069333
49,-48.03289031982422,0.5438704143837094
59,-47.14244842529297,0.03153463652357459
69,-47.485633850097656,0.5084739500284194
79,-46.715415954589844,0.03724042870104313
89,-51.34571075439453,0.4957275769673288
99,-49.22045135498047,0.038268210124224426
109,-47.98033905029297,0.4312111259624362
119,-46.764434814453125,0.03899017304182053
129,-53.0991325378418,0.43166834212839605
139,-53.12419509887695,0.03969203352928161
149,-55.05692672729492,0.38583483435213567
159,-51.14945602416992,0.03934197500348091
169,-50.741085052490234,0.4118581197783351
179,-49.09489059448242,0.04032905671745539
189,-46.936607360839844,0.33973543111234905
199,-50.40644073486328,0.039907103087753054
209,-46.916053771972656,0.32166220776736737
219,-47.89314651489258,0.03891662465408444
229,-54.82594680786133,0.34514068469405174
239,-42.6229248046875,0.03948845261707902
249,-36.26825714111328,0.3643050494417548
259,-35.128379821777344,0.037224383391439915
269,-34.92923355102539,0.3582741212286055
279,-31.414127349853516,0.03731949161738157
289,-36.27552032470703,0.3096013801917434
299,-38.156494140625,0.037211581412702796
309,-37.237388610839844,0.3268595559336245
319,-39.25914764404297,0.03983690887689591
329,-39.93895721435547,0.2965531947650015
339,-39.27843475341797,0.04067829703912139
349,-39.368446350097656,0.30712277341634037
359,-36.90861129760742,0.04140562513843179
369,-35.539817810058594,0.2951690200343728
379,-34.74598693847656,0.04091255661100149
389,-33.906517028808594,0.2497034540772438
399,-33.89671325683594,0.04026822011917829
409,-33.589134216308594,0.307122317366302
419,-33.360565185546875,0.041497937329113485
429,-30.534997940063477,0.26339000940322876
439,-32.203758239746094,0.04341243807226419
449,-34.481300354003906,0.2626776083931327
459,-38.545326232910156,0.04510654067620635
469,-38.667884826660156,0.22818428456783293
479,-37.72197341918945,0.04593058202415705
489,-38.125144958496094,0.27470575273036957
499,-36.086997985839844,0.046755813900381325
509,-34.738155364990234,0.2239929588139057
519,-37.62688064575195,0.04849774647504091
529,-36.75602722167969,0.24891433227807283
539,-39.1048469543457,0.04639856889843941
549,-37.57012939453125,0.20827534258365632
559,-37.804046630859375,0.04878875929862261
569,-37.010162353515625,0.224041556045413
579,-36.117652893066406,0.047778085470199586
589,-33.46335220336914,0.23121858917176724
599,-36.620140075683594,0.050902536176145076
609,-32.98512649536133,0.2005175930634141
619,-28.467294692993164,0.051672050300985574
629,-29.389888763427734,0.18617880456149577
639,-27.671016693115234,0.04988353628665209
649,-27.144296646118164,0.2193690863251686
659,-27.612895965576172,0.05179759806022048
669,-27.901988983154297,0.20556720703840256
679,-27.650232315063477,0.05518217988312244
689,-27.670557022094727,0.20793845381587744
699,-28.282150268554688,0.05250444360077381
709,-27.929895401000977,0.21522363826632498
719,-26.7009334564209,0.05658392086625099
729,-28.8093204498291,0.22661218915134668
739,-28.900781631469727,0.056471909172832964
749,-28.435287475585938,0.2020581528544426
759,-29.761810302734375,0.06094706155359745
769,-28.52553367614746,0.2086514925211668
779,-29.634592056274414,0.06231534708291292
789,-27.498641967773438,0.21128940537571908
799,-28.97208023071289,0.06324768934398889
809,-28.29961585998535,0.2037586961314082
819,-28.48836898803711,0.0663488718494773
829,-27.944263458251953,0.202017205581069
839,-27.284770965576172,0.07174511823803187
849,-28.20077896118164,0.1721914154663682
859,-28.78182029724121,0.07396583758294582
869,-27.666637420654297,0.2004041004180908
879,-26.304595947265625,0.0746716209873557
889,-27.13968276977539,0.18530487455427647
899,-26.781124114990234,0.07852193929255008
909,-27.694507598876953,0.19649214338511228
919,-26.334667205810547,0.08241750381886959
929,-28.88766098022461,0.21333073910325764
939,-28.625232696533203,0.08874388676136732
949,-27.05999183654785,0.1762533749639988
959,-29.3111515045166,0.08871504619717598
969,-27.991907119750977,0.1921354242414236
979,-27.9669189453125,0.08555268414318562
989,-28.394588470458984,0.18943706184625625
999,-27.889745712280273,0.08919791262596846
