Episode,Reward
9,134.48672485351562
19,112.28086853027344
29,15.989120483398438
39,162.35220336914062
49,161.22080993652344
59,140.57154846191406
69,40.43608856201172
79,26.86081314086914
89,325.4718017578125
99,964.3185424804688
109,160.6995086669922
119,691.238037109375
129,601.91259765625
139,138.47866821289062
149,485.7832946777344
159,771.2948608398438
169,291.5758056640625
179,763.0692749023438
189,706.0553588867188
199,647.9498291015625
209,1110.0679931640625
219,515.7445678710938
229,862.5826416015625
239,1256.79150390625
249,1100.45556640625
259,281.7548828125
269,622.025146484375
279,715.4983520507812
289,920.2738037109375
299,937.8088989257812
309,614.9783935546875
319,792.091552734375
329,955.1188354492188
339,837.6234130859375
349,376.5669860839844
359,813.9949951171875
369,1197.0025634765625
379,469.79266357421875
389,621.6056518554688
399,711.9521484375
409,386.37225341796875
419,1074.305908203125
429,815.4783325195312
439,875.7307739257812
449,849.6085205078125
459,874.7003173828125
469,442.2850646972656
479,458.4220275878906
489,260.3788146972656
499,61.806373596191406
509,107.99076080322266
519,77.33787536621094
529,319.7007751464844
539,63.47217559814453
549,132.11770629882812
559,135.89024353027344
569,65.3737564086914
579,102.15193176269531
589,100.20819091796875
599,429.1061096191406
609,227.1549835205078
619,113.78337097167969
629,139.10684204101562
639,445.4603576660156
649,668.0462036132812
659,834.4230346679688
669,728.3067626953125
679,399.7988586425781
689,532.010986328125
699,409.6180114746094
709,877.36572265625
719,714.47021484375
729,757.5867919921875
739,772.2830810546875
749,970.71875
759,833.4010620117188
769,1093.573486328125
779,841.638671875
789,788.6312255859375
799,770.3096923828125
