Episode,Reward
9,-45.634620666503906
19,74.29410552978516
29,219.69259643554688
39,111.37337493896484
49,467.5496520996094
59,-9.662866592407227
69,-58.36394119262695
79,0.7080867886543274
89,-8.318910598754883
99,82.81088256835938
109,237.95791625976562
119,29.331018447875977
129,346.8238525390625
139,413.0492248535156
149,22.287473678588867
159,788.720703125
169,216.12899780273438
179,124.49517822265625
189,130.98971557617188
199,606.5519409179688
209,111.14437103271484
219,128.127685546875
229,46.58406066894531
239,-27.13711166381836
249,42.7650146484375
259,100.78363800048828
269,-3.9208786487579346
279,23.550079345703125
289,43.656402587890625
299,497.37005615234375
309,440.58087158203125
319,345.90740966796875
329,178.58554077148438
339,99.75315856933594
349,5.063258171081543
359,35.571495056152344
369,125.76383972167969
379,1.7280776500701904
389,112.950439453125
399,40.82033920288086
409,48.451114654541016
419,65.22571563720703
429,226.4272918701172
439,569.6505126953125
449,476.36431884765625
459,288.1933288574219
469,757.9937744140625
479,501.44708251953125
489,472.12811279296875
499,196.3846893310547
509,577.2501220703125
519,240.59109497070312
529,267.9696350097656
539,767.3447265625
549,550.34814453125
559,255.16897583007812
569,410.27734375
579,478.1077575683594
589,430.0030212402344
599,243.47158813476562
609,101.03483581542969
619,233.1413116455078
629,60.53919219970703
639,361.2803649902344
649,469.9075622558594
659,551.1989135742188
669,743.831787109375
679,435.7450256347656
689,1174.078125
699,773.8778076171875
709,305.68389892578125
719,429.4700622558594
729,638.5905151367188
739,258.9979248046875
749,742.2965087890625
759,277.2227478027344
769,65.70528411865234
779,39.116798400878906
789,21.79804039001465
799,340.977294921875
