Episode,Reward,Loss
9,-46.545806884765625,2.3407421612739565
19,-47.820556640625,0.3495058685541153
29,-45.95292663574219,1.087415193542838
39,-46.6745491027832,0.050739487670361995
49,-47.07495880126953,0.7503506233915687
59,-46.17072677612305,0.047643840797245506
69,-47.00286102294922,0.68469442486763
79,-48.198726654052734,0.04276353215798736
89,-46.709381103515625,0.5967000820860267
99,-46.24257278442383,0.041883818935602904
109,-45.91889190673828,0.5433217581175268
119,-47.436012268066406,0.04161271823570132
129,-47.68639373779297,0.5760604629293085
139,-47.70435333251953,0.042161994203925135
149,-48.511268615722656,0.4880230615288019
159,-49.01868438720703,0.04741680391132832
169,-46.85271072387695,0.48590265784412623
179,-52.08341598510742,0.046926280949264765
189,-47.00924301147461,0.4660085191391408
199,-44.394412994384766,0.05849987767636776
209,-51.91648483276367,0.45304642640054227
219,-55.878631591796875,0.06023338373750448
229,-57.717445373535156,0.4652254196256399
239,-56.208045959472656,0.057851104512810704
249,-54.13008499145508,0.4169951258972287
259,-55.569435119628906,0.05882309414446354
269,-48.39216613769531,0.4237025683559477
279,-52.55620193481445,0.05699150737375021
289,-46.80088806152344,0.3934051765874028
299,-47.4210319519043,0.05731591682881117
309,-47.592655181884766,0.38295355167239903
319,-49.50298309326172,0.05798377439379692
329,-46.461181640625,0.40881431501358745
339,-47.60335922241211,0.05709054317325354
349,-46.092262268066406,0.3665752222016454
359,-46.88471221923828,0.05531046915799379
369,-49.499366760253906,0.34507066302001477
379,-47.513824462890625,0.06077719647437334
389,-49.65715789794922,0.37754858762025834
399,-49.6906623840332,0.06311301629990339
409,-49.329917907714844,0.3354090140759945
419,-50.40073776245117,0.06183652881532908
429,-46.64731979370117,0.3183382438123226
439,-45.08967971801758,0.05968119639903307
449,-46.156959533691406,0.3695615641772747
459,-45.85670471191406,0.05860615652054548
469,-45.16019821166992,0.31909005548805
479,-43.223873138427734,0.05974900260567665
489,-45.20341110229492,0.3066613139584661
499,-45.8329963684082,0.060047239623963834
509,-46.21416473388672,0.2962703049182892
519,-40.8835334777832,0.06044456761330366
529,-41.505958557128906,0.3289829374104738
539,-41.06014633178711,0.06230909939855337
549,-38.44017791748047,0.2845735426992178
559,-41.05048370361328,0.06275735389441252
569,-41.83176803588867,0.2782059844210744
579,-40.940269470214844,0.061301321536302564
589,-40.516971588134766,0.24966156378388404
599,-40.314762115478516,0.0613485811650753
609,-40.30450439453125,0.2518018588796258
619,-41.301124572753906,0.061791477613151076
629,-40.242034912109375,0.25738766927272083
639,-39.80641174316406,0.05960864003747702
649,-38.27690124511719,0.2611139689013362
659,-40.012001037597656,0.059180294163525105
669,-42.7968635559082,0.24257752645760775
679,-40.32990646362305,0.058866682797670364
689,-40.749855041503906,0.23726286705583333
699,-41.88733673095703,0.06000706188380718
709,-39.098026275634766,0.2164568361826241
719,-37.890220642089844,0.060189855806529524
729,-36.48188400268555,0.2292590118572116
739,-34.29229736328125,0.05940143171697855
749,-34.12831497192383,0.2094781844690442
759,-32.8024787902832,0.06128880947828293
769,-33.316871643066406,0.21124153561890124
779,-33.532405853271484,0.061349106691777705
789,-34.22484588623047,0.20434967167675494
799,-33.3955192565918,0.060557742565870286
809,-35.512176513671875,0.2103986058011651
819,-35.03181838989258,0.06218846503645182
829,-36.31269454956055,0.18228038560599089
839,-35.36452102661133,0.05979797288775444
849,-35.35595703125,0.1835089247301221
859,-34.62894058227539,0.060965277068316934
869,-33.483184814453125,0.19167183920741082
879,-31.9356689453125,0.0610387909039855
889,-32.238914489746094,0.19608341984450817
899,-31.506866455078125,0.05966432318091393
909,-31.53988265991211,0.18637432653456926
919,-30.64328956604004,0.061996913626790044
929,-31.130462646484375,0.1961851381137967
939,-30.69864273071289,0.058230839781463144
949,-30.837909698486328,0.18257152188569306
959,-30.744190216064453,0.0612079556658864
969,-31.172443389892578,0.17560930870473385
979,-30.494686126708984,0.06410202570259571
989,-31.288604736328125,0.17371733486652374
999,-30.542240142822266,0.05927954278886318
