Episode,Reward,Loss
9,-248.9849853515625,66.67669868469238
19,-236.2442626953125,36.61218485116959
29,-195.64718627929688,28.893015270233153
39,-188.62937927246094,4.388632661104202
49,-154.96688842773438,37.91602271795273
59,-152.0285186767578,0.7946781553328037
69,-118.18809509277344,30.609021575450896
79,-109.1556167602539,0.3287811925262213
89,-120.045654296875,26.170531132519244
99,-121.80885314941406,0.30083110608160496
109,-122.142333984375,24.20857311517
119,-121.8514404296875,0.2924957662820816
129,-123.3465576171875,22.112761647999285
139,-128.44578552246094,0.2873744548857212
149,-112.5123291015625,20.78945995718241
159,-117.97056579589844,0.28717829078435897
169,-112.87541198730469,17.099345393180847
179,-110.78977966308594,0.3678057706356049
189,-113.65775299072266,18.57198062002659
199,-123.16861724853516,0.4555405202507973
209,-114.0262680053711,14.6535303363204
219,-127.06526947021484,0.5298338663578034
229,-106.47188568115234,14.704731679856778
239,-102.67808532714844,0.6248721048235893
249,-111.9034194946289,13.201223408579827
259,-96.97565460205078,0.7377772808074952
269,-107.28311920166016,12.556406615376472
279,-126.70695495605469,0.8877677625417709
289,-121.24884033203125,10.574537092447281
299,-124.16400146484375,1.0936931830644607
309,-113.2295150756836,9.897512534856796
319,-123.7192611694336,1.28193635225296
329,-109.66517639160156,9.12497213959694
339,-110.90013122558594,1.4770059514045715
349,-111.35389709472656,8.923532462120056
359,-105.73338317871094,1.9107311642169953
369,-95.4405288696289,9.077276844978332
379,-97.85884094238281,2.2379873645305635
389,-91.0829849243164,7.5228614223003385
399,-104.97709655761719,2.6304392063617708
409,-91.1935806274414,9.649905371665955
419,-98.25502014160156,2.9681825280189513
429,-89.06047058105469,7.264877758026123
439,-91.92664337158203,3.4320893335342406
449,-88.14238739013672,6.8290074348449705
459,-89.26448059082031,3.7054387593269347
469,-96.7374038696289,6.490541896820068
479,-89.38312530517578,4.0709362626075745
489,-91.10775756835938,7.122166521549225
499,-103.39449310302734,4.54995305776596
509,-88.90721893310547,7.276315498352051
519,-83.7802963256836,4.735103313922882
529,-98.71710205078125,7.608143281936646
539,-79.66795349121094,5.1469688844680785
549,-102.63790130615234,8.122758107185364
559,-98.10809326171875,5.543710253238678
569,-94.44254302978516,7.87597067117691
579,-112.07136535644531,5.9505215263366695
589,-99.37984466552734,8.389910922050476
599,-100.30195617675781,6.243812725543976
609,-103.00626373291016,8.054689483642578
619,-98.78404998779297,6.722228193283081
629,-92.35951232910156,8.557407641410828
639,-94.41150665283203,6.936255722045899
649,-92.75358581542969,8.216475133895875
659,-106.63359069824219,7.140266678333282
669,-112.19462585449219,8.485660729408265
679,-92.71446228027344,7.774726028442383
689,-108.74848937988281,8.64132580280304
699,-105.31119537353516,7.59957302570343
709,-104.74066162109375,9.13657250404358
719,-96.23651123046875,8.393216304779052
729,-87.84307861328125,8.832675585746765
739,-89.08682250976562,8.480186386108398
749,-93.0876693725586,9.801510510444642
759,-111.22016906738281,8.884523839950562
769,-102.00660705566406,9.978782048225403
779,-95.07991027832031,9.069214301109314
789,-97.53118896484375,10.129046721458435
799,-96.31251525878906,9.636397042274474
809,-98.94462585449219,10.38015012741089
819,-92.87692260742188,10.228460154533387
829,-99.93122863769531,10.825667791366577
839,-93.98011016845703,10.330279598236084
849,-96.72178649902344,11.135130977630615
859,-100.2083511352539,10.421297087669373
869,-89.4854965209961,11.570487408638
879,-111.2204818725586,11.401354193687439
889,-101.63446044921875,11.683074293136597
899,-94.08857727050781,11.158481216430664
909,-92.17780303955078,11.423817629814147
919,-90.9502182006836,11.386374320983887
929,-97.16349029541016,11.79120792388916
939,-92.36883544921875,11.59323597431183
949,-95.7853012084961,12.118350744247437
959,-99.8831787109375,12.138160681724548
969,-93.02365112304688,12.44817455291748
979,-95.39010620117188,12.26387143611908
989,-96.48380279541016,12.131745629310608
999,-93.51759338378906,12.393047075271607
